sim_id	k_cap_bind	k_start_uorf2	k_elong_stall	k_terminated_ssu_recycle_uorf2	l_scan_capture	uorf2_start	uorf2_stop	uorf3_start	uorf3_stop	orf_start	orf_stop	l_mrna	x_stall	k_scan_term_3_hit_80s	k_scan_term_3_hit_40s	k_scan_term_both_hit_40s_80s	k_scan_term_both_hit_40s_40s	k_scan_term_both_hit_80s_40s	k_scan_term_both_hit_80s_80s
234	0.0625	5.0	5.0	5.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
235	0.0625	5.0	5.0	5.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
236	0.0625	5.0	5.0	0.5555555555555555	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
237	0.0625	5.0	5.0	0.5555555555555555	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
238	0.0625	5.0	5.0	0.5555555555555555	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
239	0.0625	5.0	5.0	0.5555555555555555	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
240	0.0625	0.5	0.001	45.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
241	0.0625	0.5	0.001	45.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
242	0.0625	0.5	0.001	45.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
243	0.0625	0.5	0.001	45.0	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
244	0.0625	0.5	0.001	5.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
245	0.0625	0.5	0.001	5.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
246	0.0625	0.5	0.001	5.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
247	0.0625	0.5	0.001	5.0	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
248	0.0625	0.5	0.001	0.5555555555555555	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
249	0.0625	0.5	0.001	0.5555555555555555	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
250	0.0625	0.5	0.001	0.5555555555555555	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
251	0.0625	0.5	0.001	0.5555555555555555	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
252	0.0625	0.5	5.0	45.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
253	0.0625	0.5	5.0	45.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
254	0.0625	0.5	5.0	45.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
255	0.0625	0.5	5.0	45.0	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
256	0.0625	0.5	5.0	5.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
257	0.0625	0.5	5.0	5.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
258	0.0625	0.5	5.0	5.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
