sim_id	k_cap_bind	k_start_uorf2	k_scan	k_elong	k_elong_stall	k_terminated_ssu_recycle_uorf2	uorf2_start	uorf2_stop	uorf3_start	uorf3_stop	orf_start	orf_stop	l_mrna	x_stall	k_scan_term_5_hit_80s	k_scan_term_both_hit_80s_40s	k_scan_term_both_hit_80s_80s
210	0.03125	0.1	5	2	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
211	0.03125	0.1	5	2	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
212	0.03125	0.1	5	2	2.0	2	25	88	94	103	229	274	277	85	2	2	2
213	0.03125	0.1	5	2	2.0	2	25	88	94	103	229	274	277	85	200	200	200
214	0.03125	0.1	5	2	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
215	0.03125	0.1	5	2	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
216	0.03125	0.1	5	5	0.001	2	25	88	94	103	229	274	277	85	2	2	2
217	0.03125	0.1	5	5	0.001	2	25	88	94	103	229	274	277	85	200	200	200
218	0.03125	0.1	5	5	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
219	0.03125	0.1	5	5	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
220	0.03125	0.1	5	5	2.0	2	25	88	94	103	229	274	277	85	2	2	2
221	0.03125	0.1	5	5	2.0	2	25	88	94	103	229	274	277	85	200	200	200
222	0.03125	0.1	5	5	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
223	0.03125	0.1	5	5	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
224	0.03125	20.0	2	2	0.001	2	25	88	94	103	229	274	277	85	2	2	2
225	0.03125	20.0	2	2	0.001	2	25	88	94	103	229	274	277	85	200	200	200
226	0.03125	20.0	2	2	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
227	0.03125	20.0	2	2	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
228	0.03125	20.0	2	2	2.0	2	25	88	94	103	229	274	277	85	2	2	2
229	0.03125	20.0	2	2	2.0	2	25	88	94	103	229	274	277	85	200	200	200
230	0.03125	20.0	2	2	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
231	0.03125	20.0	2	2	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
232	0.03125	20.0	2	5	0.001	2	25	88	94	103	229	274	277	85	2	2	2
233	0.03125	20.0	2	5	0.001	2	25	88	94	103	229	274	277	85	200	200	200
234	0.03125	20.0	2	5	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
235	0.03125	20.0	2	5	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
236	0.03125	20.0	2	5	2.0	2	25	88	94	103	229	274	277	85	2	2	2
237	0.03125	20.0	2	5	2.0	2	25	88	94	103	229	274	277	85	200	200	200
238	0.03125	20.0	2	5	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
239	0.03125	20.0	2	5	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
240	0.03125	20.0	5	2	0.001	2	25	88	94	103	229	274	277	85	2	2	2
241	0.03125	20.0	5	2	0.001	2	25	88	94	103	229	274	277	85	200	200	200
242	0.03125	20.0	5	2	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
243	0.03125	20.0	5	2	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
244	0.03125	20.0	5	2	2.0	2	25	88	94	103	229	274	277	85	2	2	2
245	0.03125	20.0	5	2	2.0	2	25	88	94	103	229	274	277	85	200	200	200
246	0.03125	20.0	5	2	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
247	0.03125	20.0	5	2	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
248	0.03125	20.0	5	5	0.001	2	25	88	94	103	229	274	277	85	2	2	2
249	0.03125	20.0	5	5	0.001	2	25	88	94	103	229	274	277	85	200	200	200
250	0.03125	20.0	5	5	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
251	0.03125	20.0	5	5	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
252	0.03125	20.0	5	5	2.0	2	25	88	94	103	229	274	277	85	2	2	2
253	0.03125	20.0	5	5	2.0	2	25	88	94	103	229	274	277	85	200	200	200
254	0.03125	20.0	5	5	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
255	0.03125	20.0	5	5	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
256	0.03125	0.1	2	2	0.001	2	25	91	97	106	232	277	280	88	2	2	2
257	0.03125	0.1	2	2	0.001	2	25	91	97	106	232	277	280	88	200	200	200
258	0.03125	0.1	2	2	0.001	2495	25	91	97	106	232	277	280	88	2	2	2
259	0.03125	0.1	2	2	0.001	2495	25	91	97	106	232	277	280	88	200	200	200
260	0.03125	0.1	2	2	2.0	2	25	91	97	106	232	277	280	88	2	2	2
261	0.03125	0.1	2	2	2.0	2	25	91	97	106	232	277	280	88	200	200	200
262	0.03125	0.1	2	2	2.0	2495	25	91	97	106	232	277	280	88	2	2	2
263	0.03125	0.1	2	2	2.0	2495	25	91	97	106	232	277	280	88	200	200	200
264	0.03125	0.1	2	5	0.001	2	25	91	97	106	232	277	280	88	2	2	2
265	0.03125	0.1	2	5	0.001	2	25	91	97	106	232	277	280	88	200	200	200
266	0.03125	0.1	2	5	0.001	2495	25	91	97	106	232	277	280	88	2	2	2
267	0.03125	0.1	2	5	0.001	2495	25	91	97	106	232	277	280	88	200	200	200
268	0.03125	0.1	2	5	2.0	2	25	91	97	106	232	277	280	88	2	2	2
269	0.03125	0.1	2	5	2.0	2	25	91	97	106	232	277	280	88	200	200	200
270	0.03125	0.1	2	5	2.0	2495	25	91	97	106	232	277	280	88	2	2	2
271	0.03125	0.1	2	5	2.0	2495	25	91	97	106	232	277	280	88	200	200	200
272	0.03125	0.1	5	2	0.001	2	25	91	97	106	232	277	280	88	2	2	2
273	0.03125	0.1	5	2	0.001	2	25	91	97	106	232	277	280	88	200	200	200
274	0.03125	0.1	5	2	0.001	2495	25	91	97	106	232	277	280	88	2	2	2
275	0.03125	0.1	5	2	0.001	2495	25	91	97	106	232	277	280	88	200	200	200
276	0.03125	0.1	5	2	2.0	2	25	91	97	106	232	277	280	88	2	2	2
277	0.03125	0.1	5	2	2.0	2	25	91	97	106	232	277	280	88	200	200	200
278	0.03125	0.1	5	2	2.0	2495	25	91	97	106	232	277	280	88	2	2	2
279	0.03125	0.1	5	2	2.0	2495	25	91	97	106	232	277	280	88	200	200	200
280	0.03125	0.1	5	5	0.001	2	25	91	97	106	232	277	280	88	2	2	2
281	0.03125	0.1	5	5	0.001	2	25	91	97	106	232	277	280	88	200	200	200
282	0.03125	0.1	5	5	0.001	2495	25	91	97	106	232	277	280	88	2	2	2
283	0.03125	0.1	5	5	0.001	2495	25	91	97	106	232	277	280	88	200	200	200
284	0.03125	0.1	5	5	2.0	2	25	91	97	106	232	277	280	88	2	2	2
